train_dur,replicate_num,model_name,checkpoint_path,labelmap_path,spect_scaler_path,dataset_path,avg_val_acc,avg_val_acc_tfm,avg_val_levenshtein,avg_val_levenshtein_tfm,avg_val_loss,avg_val_segment_error_rate,avg_val_segment_error_rate_tfm
30.0,1,TweetyNoLSTMNet,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_30.0s/replicate_1/TweetyNoLSTMNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_30.0s/replicate_1/labelmap.json,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_30.0s/replicate_1/StandardizeSpect,data/BFSongRepo/or60yw70/0927_092812-vak-frame-classification-dataset-generated-230629_173413,0.917076289653778,0.9558709859848022,159.5483856201172,4.838709831237793,0.7820450067520142,2.221808989847783,0.0778905290990404
30.0,2,TweetyNoLSTMNet,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_30.0s/replicate_2/TweetyNoLSTMNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_30.0s/replicate_2/labelmap.json,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_30.0s/replicate_2/StandardizeSpect,data/BFSongRepo/or60yw70/0927_092812-vak-frame-classification-dataset-generated-230629_173413,0.9211337566375732,0.9638268947601318,173.7096710205078,5.290322780609131,1.2406741380691528,2.4008668201215606,0.0832784229789349
30.0,3,TweetyNoLSTMNet,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_30.0s/replicate_3/TweetyNoLSTMNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_30.0s/replicate_3/labelmap.json,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_30.0s/replicate_3/StandardizeSpect,data/BFSongRepo/or60yw70/0927_092812-vak-frame-classification-dataset-generated-230629_173413,0.9215419292449952,0.9683186411857604,175.5483856201172,3.612903118133545,0.8035348653793335,2.3700492448312898,0.0602099248121528
30.0,4,TweetyNoLSTMNet,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_30.0s/replicate_4/TweetyNoLSTMNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_30.0s/replicate_4/labelmap.json,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_30.0s/replicate_4/StandardizeSpect,data/BFSongRepo/or60yw70/0927_092812-vak-frame-classification-dataset-generated-230629_173413,0.910644233226776,0.9551916718482972,180.4193572998047,5.903225898742676,0.8052793145179749,2.4773790906979447,0.0923532420979528
30.0,5,TweetyNoLSTMNet,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_30.0s/replicate_5/TweetyNoLSTMNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_30.0s/replicate_5/labelmap.json,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_30.0s/replicate_5/StandardizeSpect,data/BFSongRepo/or60yw70/0927_092812-vak-frame-classification-dataset-generated-230629_173413,0.9197016358375548,0.9561175107955932,144.74192810058594,4.838709831237793,0.7829400897026062,1.9731471201224615,0.0720183777246063
45.0,1,TweetyNoLSTMNet,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_45.0s/replicate_1/TweetyNoLSTMNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_45.0s/replicate_1/labelmap.json,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_45.0s/replicate_1/StandardizeSpect,data/BFSongRepo/or60yw70/0927_092812-vak-frame-classification-dataset-generated-230629_173413,0.9203343987464904,0.9623912572860718,175.8709716796875,4.129032135009766,1.0790144205093384,2.397244512379361,0.0588122763950716
45.0,2,TweetyNoLSTMNet,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_45.0s/replicate_2/TweetyNoLSTMNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_45.0s/replicate_2/labelmap.json,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_45.0s/replicate_2/StandardizeSpect,data/BFSongRepo/or60yw70/0927_092812-vak-frame-classification-dataset-generated-230629_173413,0.9318637251853944,0.9696590900421144,146.61289978027344,3.161290407180786,0.771902322769165,1.9888012102909387,0.0461742526534091
45.0,3,TweetyNoLSTMNet,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_45.0s/replicate_3/TweetyNoLSTMNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_45.0s/replicate_3/labelmap.json,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_45.0s/replicate_3/StandardizeSpect,data/BFSongRepo/or60yw70/0927_092812-vak-frame-classification-dataset-generated-230629_173413,0.9167277216911316,0.963352918624878,183.16128540039065,4.838709831237793,1.2292588949203491,2.5037443842144964,0.079928507674325
45.0,4,TweetyNoLSTMNet,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_45.0s/replicate_4/TweetyNoLSTMNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_45.0s/replicate_4/labelmap.json,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_45.0s/replicate_4/StandardizeSpect,data/BFSongRepo/or60yw70/0927_092812-vak-frame-classification-dataset-generated-230629_173413,0.9225194454193116,0.9613645076751708,144.61289978027344,3.838709592819214,0.5580157041549683,2.0008272808236867,0.0633868969126467
45.0,5,TweetyNoLSTMNet,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_45.0s/replicate_5/TweetyNoLSTMNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_45.0s/replicate_5/labelmap.json,results/BFSongRepo/or60yw70/TweetyNoLSTMNet/results_230705_202018/train_dur_45.0s/replicate_5/StandardizeSpect,data/BFSongRepo/or60yw70/0927_092812-vak-frame-classification-dataset-generated-230629_173413,0.9110888838768004,0.9483286738395692,170.83871459960938,6.032258033752441,0.7426740527153015,2.299569519822561,0.083532931385375
